id T_eff delta_nu delta_nu_err nu_max nu_max_err  mag
9007718 4564 3.99 0.08 35.36 0.76 12.517
9205952 4438 2.43 0.06 17.85 0.62 12.369
9268146 4450 3.60 0.08 30.83 0.82 12.015
9205705 4685 3.15 0.09 25.23 0.67 10.991
9075225 4833 5.36 0.11 55.18 1.17 10.092
9329058 4802 4.52 0.09 41.26 1.19 10.336
9329200 4554 6.79 0.13 74.65 1.49 11.204
8937073 4534 3.23 0.08 24.69 0.57 11.431
9267654 4827 10.26 0.19 116.54 2.24 12.018
9327993 4610 3.91 0.09 34.68 2.09 9.808
9139859 4615 6.81 0.13 72.71 1.74 11.636
8936409 4239 1.22 0.04 6.96 0.33 11.695
9004448 4651 3.45 0.17 27.01 0.67 11.406
9265513 4717 5.36 0.11 48.21 0.96 11.894
9202995 4735 3.82 0.08 29.28 1.67 10.928
9202597 4697 9.65 0.18 113.30 2.34 12.373
8936339 4834 4.62 0.10 44.03 1.07 12.111
9003765 4599 6.02 0.13 59.22 1.22 11.485
8936104 4489 3.75 0.09 30.58 2.03 12.412
8936084 4922 4.15 0.09 31.97 0.88 12.029
9264889 4839 7.40 0.19 82.48 1.60 12.128
9326421 4744 6.73 0.14 68.44 2.26 12.357
9072262 4686 4.49 0.10 37.86 1.10 11.872
9002344 4677 4.37 0.09 43.41 1.21 11.626
9002884 4120 0.78 0.07 4.82 0.17 11.570
9071238 4635 5.37 0.11 51.37 1.17 12.491
8736415 4359 1.36 0.04 7.66 0.40 12.305
8934264 4342 1.43 0.04 8.69 0.21 11.553
8671819 4934 4.04 0.09 30.24 0.65 11.536
9698133 4786 9.24 0.17 110.99 2.48 11.904
9515026 4688 4.54 0.13 40.17 0.84 12.416
9453362 4922 4.18 0.09 35.26 1.97 11.395
9392274 4663 4.82 0.10 43.90 1.20 12.307
9513787 4717 3.83 0.12 30.30 0.71 12.184
9575645 4948 4.72 0.11 46.38 1.42 9.487
9637054 4677 4.48 0.11 43.28 0.91 12.487
9818513 4626 3.83 0.08 32.24 1.12 11.709
9818604 4406 3.48 0.07 30.21 0.63 11.093
9758246 4524 2.80 0.06 22.51 0.87 10.629
9451434 4654 3.52 0.09 27.72 0.77 11.350
9574730 4870 4.83 0.13 48.07 1.57 9.736
9451999 4936 4.23 0.08 34.11 0.91 11.103
9574650 4860 9.52 0.19 105.72 2.05 11.754
9635490 4323 2.18 0.05 15.55 0.57 12.025
9635603 4883 4.13 0.10 32.21 0.65 11.686
9697074 4623 3.89 0.11 33.28 0.75 12.596
9390666 4617 3.78 0.09 29.18 0.64 12.470
9328682 5040 4.70 0.12 47.64 1.08 9.913
9635388 4710 4.43 0.10 39.84 1.34 11.377
9450786 4813 3.62 0.08 28.28 0.80 11.435
9635649 4928 15.50 0.55 204.12 4.12 11.864
9634962 4704 3.98 0.10 34.65 0.86 9.499
9511938 4580 4.88 0.11 48.32 0.99 11.329
9449413 4631 5.60 0.14 54.08 1.31 12.488
9902962 5066 6.69 0.12 75.64 1.66 11.821
9903915 4784 5.95 0.12 67.36 1.57 11.305
9904563 4731 4.25 0.08 38.63 1.22 11.820
9965582 4171 1.13 0.03 7.48 0.23 11.262
9967351 4629 5.63 0.13 59.62 1.97 10.839
9967700 4966 9.63 0.18 106.75 2.04 10.395
9966823 4548 4.01 0.09 32.71 1.23 11.703
9968249 4805 7.78 0.19 90.31 2.25 10.964
9791929 4243 4.58 0.11 45.53 1.25 11.189
9851743 4651 4.65 0.09 43.72 1.51 10.457
9852625 4233 2.30 0.05 15.75 0.78 12.067
9662343 4824 4.87 0.22 43.70 1.16 11.550
9540226 4508 3.15 0.08 26.88 0.91 11.672
9479404 5021 6.96 0.13 84.76 2.02 9.829
9782817 4674 5.47 0.12 51.89 2.17 11.841
9783226 4660 5.30 0.10 53.60 1.37 9.854
9843358 4677 4.04 0.10 31.67 0.90 11.225
9662395 4648 4.42 0.10 48.77 1.04 11.448
9724324 4720 4.58 0.09 40.65 0.81 11.190
9724882 4849 4.40 0.12 36.88 0.88 11.364
9602917 4714 3.95 0.09 31.66 0.67 9.900
9542075 4827 4.00 0.11 29.16 1.55 12.037
9846877 4711 4.39 0.13 36.80 0.95 11.745
9906278 4730 4.62 0.11 44.55 1.60 11.456
9846355 4594 3.91 0.12 32.00 0.93 9.527
9786625 4553 4.63 0.10 45.84 1.06 11.700
9605294 4574 3.97 0.12 30.44 0.93 11.301
9604524 4696 4.64 0.10 46.70 1.05 10.746
9787503 4575 3.96 0.09 32.48 1.84 11.993
9666718 4109 1.25 0.03 7.61 0.36 11.677
9727392 4892 4.42 0.09 39.26 1.06 10.934
9728284 4671 4.88 0.11 48.33 1.94 11.401
9727675 4825 6.00 0.12 68.43 2.68 11.680
9728845 4421 3.09 0.06 28.15 0.58 11.165
9667930 5022 6.06 0.14 67.75 1.81 9.902
9788834 4526 3.78 0.09 31.59 1.14 11.499
9909804 4753 4.42 0.14 37.26 0.83 10.750
9970830 4816 5.06 0.13 52.00 1.68 10.031
9790050 4827 5.28 0.10 55.72 1.25 10.651
9910166 4538 3.41 0.08 33.65 0.92 11.901
9024483 4730 3.93 0.08 32.39 1.46 11.898
9025029 4657 4.38 0.10 39.68 0.92 10.751
9024667 4604 3.41 0.13 26.31 1.57 11.915
9157260 4883 17.45 1.72 235.40 4.49 11.734
9220076 4772 4.14 0.15 33.60 0.95 11.373
9344639 4126 1.07 0.03 6.53 0.54 11.737
9406596 4712 3.91 0.11 33.50 0.90 9.924
9283816 4763 4.63 0.11 43.02 0.88 10.735
9283918 4824 4.89 0.11 52.03 1.30 10.852
9026209 4098 1.34 0.03 9.17 0.66 11.576
9025882 4509 4.16 0.11 34.59 0.85 11.191
9346288 4450 3.29 0.08 27.82 0.91 12.013
9408590 4784 4.51 0.11 44.47 1.61 9.701
9346602 4775 5.00 0.11 55.58 1.23 10.512
9159227 4478 3.76 0.08 29.93 1.56 11.922
9222389 4592 3.57 0.07 31.11 1.01 11.641
9027245 4486 5.36 0.12 49.31 1.05 11.883
9409513 5038 6.03 0.14 71.17 1.72 10.286
9027871 4540 4.25 0.10 42.91 1.23 11.367
9349632 4820 7.75 0.15 98.36 2.32 11.851
9350031 4602 5.74 0.12 52.57 1.04 11.578
9411366 4830 5.01 0.10 49.59 1.11 11.655
9163153 4564 12.44 0.24 153.93 3.11 11.543
9226335 4956 4.54 0.08 52.44 2.35 9.870
9226481 4480 4.25 0.09 38.86 1.00 12.099
9228469 4901 9.18 0.17 104.40 2.50 9.987
9100444 4653 5.11 0.10 51.76 1.32 11.048
9163785 4511 4.74 0.12 46.47 1.01 11.373
9351617 4781 4.35 0.08 39.54 1.10 11.539
9351186 4537 3.87 0.13 33.73 0.97 11.110
9414068 4344 1.63 0.04 10.11 0.40 11.777
9414102 4447 3.91 0.08 36.41 1.09 12.017
9291624 4466 4.04 0.08 34.77 0.83 12.066
9166023 4161 2.40 0.05 18.46 0.58 11.754
9034557 4643 4.31 0.09 41.99 1.35 11.481
9229601 4805 4.70 0.09 46.00 1.04 11.634
9292408 4580 3.46 0.11 29.36 1.77 11.727
9291249 4519 4.55 0.10 44.72 1.06 11.442
9291830 4789 4.40 0.09 45.98 1.30 11.018
9291976 4555 3.93 0.08 31.41 0.75 11.614
9292180 4517 5.39 0.11 56.12 3.44 11.930
9353187 4851 6.57 0.16 78.91 2.83 11.024
9475697 4651 9.82 0.18 112.52 2.91 11.128
9353531 4674 3.90 0.09 29.91 0.70 11.457
8564559 4743 4.68 0.09 44.31 1.23 11.515
8693004 4596 3.61 0.09 34.19 0.78 10.861
8693018 4912 7.04 0.18 87.78 1.90 11.426
8628585 4593 4.11 0.08 36.37 0.77 11.949
8757215 4708 4.27 0.10 35.30 0.73 12.038
8822689 4892 5.04 0.09 54.79 1.39 10.939
8957543 4473 4.01 0.11 37.65 1.59 11.746
8822878 4493 4.10 0.09 36.51 1.48 11.751
8758700 4570 3.92 0.08 30.89 0.70 11.855
8824452 4541 5.49 0.15 51.25 1.12 10.897
8824264 4706 4.14 0.10 33.70 1.55 11.097
8890410 4803 5.41 0.10 60.82 1.87 11.043
8565016 4498 6.03 0.16 60.96 1.54 11.275
9028511 4645 3.93 0.09 29.98 0.70 11.625
9028321 4500 4.72 0.11 46.33 1.11 11.412
8959259 4538 6.74 0.14 76.82 1.97 11.844
8759811 4787 5.23 0.12 53.30 1.44 11.007
8759746 4643 4.79 0.10 45.98 1.09 11.201
8759207 4980 7.25 0.17 81.23 1.64 10.973
9028697 4558 5.90 0.12 59.24 1.07 11.851
8825444 4931 6.53 0.11 84.32 2.36 10.999
9029195 4632 4.71 0.14 42.41 0.90 10.931
8826079 4750 4.17 0.12 33.01 0.76 11.400
9029603 4862 10.73 0.21 143.89 3.10 11.679
8962844 4688 4.46 0.10 41.43 1.07 11.738
8962923 4954 6.82 0.13 81.21 2.17 11.118
