id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
12121377 43.21 1.12 4.49 0.11 11.75 4921
12122151 51.07 1.28 5.06 0.10 9.71 4727
12121656 37.97 1.09 4.25 0.10 11.55 4814
11775041 34.22 2.16 4.13 0.08 11.99 4779
11974612 40.16 1.00 4.64 0.12 11.95 4826
11825166 50.31 1.16 5.29 0.10 12.30 4675
11824976 37.10 0.92 4.08 0.10 11.65 4711
11774110 35.37 1.16 4.00 0.09 12.37 4646
12120327 34.28 0.70 4.02 0.11 10.07 4745
11823838 42.11 1.14 4.47 0.09 11.02 4906
11670968 45.17 0.98 5.02 0.11 12.05 4856
12021906 41.38 0.91 4.55 0.10 11.97 4894
11971940 47.39 1.67 4.69 0.12 10.28 4588
11873200 37.41 0.95 4.05 0.08 12.18 4933
11871882 36.46 1.42 4.30 0.10 9.79 4895
11721374 59.96 1.27 5.92 0.12 11.16 4664
11871718 31.99 1.26 3.95 0.09 12.02 4935
11970987 43.25 1.54 4.66 0.11 11.12 4958
11821439 47.82 1.09 4.78 0.11 10.84 4690
11870991 30.63 0.90 4.04 0.10 11.82 5069
11819760 30.52 1.49 3.63 0.07 10.79 4903
11920678 37.96 1.08 4.14 0.09 10.33 4705
11820688 38.97 1.14 4.18 0.09 10.59 4873
11769563 84.35 1.93 7.78 0.15 12.06 5017
11869095 55.95 1.44 5.33 0.11 10.48 4647
11969378 38.10 1.02 4.33 0.09 9.47 4768
11868264 34.70 1.79 3.33 0.60 11.58 5059
11666557 31.09 1.01 3.61 0.14 12.29 4584
11819363 49.97 1.74 5.31 0.10 9.39 4906
11769182 43.57 0.98 4.58 0.11 10.60 4696
11768570 35.25 1.34 4.18 0.09 12.11 4792
11966805 40.03 1.04 4.38 0.11 12.04 4797
12114999 40.00 1.03 4.35 0.08 11.73 5046
11918016 34.50 1.52 4.14 0.09 12.19 4865
11868246 33.65 0.88 3.70 0.09 11.60 4751
11817405 33.40 0.67 3.76 0.09 11.90 4658
11767058 54.55 1.16 5.34 0.10 10.53 5013
11665692 67.79 2.34 5.95 0.13 9.22 4824
11614827 35.21 1.19 4.28 0.11 11.52 5059
12418515 35.70 1.03 4.06 0.10 11.80 4929
12316494 31.55 2.12 3.76 0.08 11.52 4924
12367827 39.14 1.15 4.22 0.08 11.45 4904
12418339 35.93 0.81 4.18 0.09 11.99 4933
12169845 30.43 1.11 3.27 0.08 10.72 4734
12120230 50.80 1.37 5.31 0.11 10.99 4800
12217154 47.35 1.13 4.65 0.09 10.95 5010
12168406 45.33 1.02 4.73 0.11 11.72 4527
12366537 47.23 1.11 4.73 0.11 10.35 4748
12070114 39.27 1.25 4.25 0.08 10.86 4780
12070650 40.08 1.07 4.43 0.10 10.36 4894
12266056 42.21 1.17 4.67 0.13 12.26 4737
12215647 49.26 1.26 4.95 0.10 10.59 4760
12118044 64.60 1.42 5.94 0.12 11.57 5079
12117920 36.40 1.80 4.01 0.18 12.18 4772
12164879 53.08 2.66 4.75 0.08 10.68 5067
12116393 61.09 1.36 6.24 0.14 11.79 4735
12067001 42.61 1.33 4.53 0.09 11.04 5037
10662618 31.55 0.92 3.93 0.08 11.01 4712
10793771 78.09 1.93 6.64 0.18 10.27 4911
10728179 37.45 0.81 4.25 0.09 9.66 4884
10858675 87.50 2.10 8.07 0.16 12.24 4849
10858520 33.87 0.73 3.78 0.10 11.91 4571
10973854 31.07 0.70 3.55 0.08 11.32 4614
10972858 30.75 0.73 3.73 0.13 12.30 4740
10598558 42.85 1.14 4.51 0.12 10.25 4935
10597648 34.86 0.78 3.93 0.09 10.84 4480
10533369 40.78 1.85 4.27 0.09 11.93 4865
11029151 36.54 0.93 4.23 0.10 11.94 4782
11028575 36.98 2.32 4.27 0.09 11.62 4847
11028372 39.48 0.94 4.54 0.11 11.63 4784
10918731 45.86 0.95 4.60 0.09 11.64 4767
10974984 33.37 0.83 3.82 0.08 12.06 4678
10796378 41.50 0.96 4.70 0.12 11.94 4889
10859779 79.36 3.63 7.26 0.15 11.68 4690
10859941 30.64 0.79 3.96 0.09 11.09 4858
10977040 51.72 1.44 5.06 0.10 11.87 5057
10667966 31.62 0.95 4.05 0.10 12.00 4991
10799530 36.90 0.71 4.30 0.10 11.64 4729
10667886 35.70 1.47 4.15 0.09 11.22 4734
10733897 46.14 1.06 4.98 0.10 12.03 4591
10734241 35.07 1.35 4.22 0.11 12.35 4831
10604255 30.66 0.99 3.65 0.15 9.80 4601
10669123 36.07 1.07 4.26 0.09 11.36 4910
10864711 45.26 1.02 4.84 0.11 10.85 4635
10979258 37.44 0.92 4.21 0.09 12.09 4632
10978857 37.22 0.92 4.13 0.09 12.15 4673
10604460 30.28 0.90 3.79 0.08 10.92 4642
10670445 30.75 0.74 3.56 0.08 10.76 4601
10736390 67.66 4.66 5.78 0.11 10.54 5028
10735926 35.82 1.06 4.26 0.09 11.04 4947
10866694 31.90 0.87 3.88 0.11 11.90 4697
10802837 57.33 1.21 5.47 0.10 9.84 4887
10979742 73.39 3.39 6.72 0.12 11.54 4633
11033302 36.28 1.75 4.21 0.11 9.86 4907
10206307 31.85 0.76 4.06 0.09 11.24 4854
10073828 30.44 1.19 3.76 0.08 12.07 4689
10402819 54.24 1.47 5.28 0.10 10.29 5091
10467570 33.14 1.37 4.04 0.09 11.79 4662
10402207 46.77 1.06 5.24 0.11 11.91 4760
10272641 89.01 1.89 8.09 0.22 11.65 4843
10207321 64.56 1.37 6.66 0.14 11.52 4846
10207059 84.67 2.96 7.38 0.13 11.69 5154
10469976 51.16 1.34 4.84 0.11 10.63 4867
10599712 38.29 0.91 4.10 0.10 11.06 4830
10273236 34.78 0.64 3.78 0.10 11.96 4719
10534891 53.14 1.36 5.04 0.13 12.08 4986
10666932 36.59 0.98 3.93 0.09 11.25 4723
10600926 30.04 1.48 4.04 0.16 11.64 4878
10602976 36.21 0.79 4.06 0.14 11.70 4870
10602374 37.64 0.91 4.13 0.09 11.71 4748
10537376 33.48 1.33 4.10 0.09 12.06 4880
10603170 41.46 1.07 4.38 0.10 11.58 4778
10604054 59.79 3.25 6.02 0.16 12.39 4602
11404925 32.93 1.49 4.06 0.09 12.15 4793
11247049 34.20 1.03 3.87 0.09 11.09 4852
10922821 33.15 1.34 4.04 0.10 11.94 4778
10922840 75.63 1.80 7.01 0.14 12.42 4580
11351480 35.42 1.00 4.07 0.10 12.12 4841
11298714 61.58 1.43 5.88 0.13 11.15 4628
11298776 39.61 0.92 4.54 0.10 10.14 4652
11298371 35.55 0.83 4.10 0.12 10.26 4785
11298561 36.75 0.96 4.31 0.10 11.77 4835
11085809 35.90 0.79 4.16 0.11 11.73 4970
11191557 70.17 1.73 6.25 0.12 10.96 5105
11245339 41.90 1.28 4.72 0.11 12.29 4854
11245234 32.81 1.01 4.06 0.09 12.14 4827
11245307 33.96 0.85 3.66 0.08 11.78 4690
11244855 36.37 0.95 4.25 0.09 11.76 4837
11190322 54.54 1.10 5.45 0.12 11.97 4621
11083701 31.81 0.89 3.83 0.12 11.79 4779
11084022 44.85 1.28 4.64 0.10 11.40 4678
11029423 74.38 1.66 7.23 0.15 9.48 4594
11083613 89.10 3.83 8.67 0.18 11.63 4797
11296211 33.07 0.68 4.04 0.08 11.88 4689
11083319 44.44 3.08 4.21 0.08 10.54 5159
11136578 87.32 3.32 8.16 0.17 11.89 4791
11136139 37.90 1.76 4.28 0.09 11.96 4786
11189432 53.41 1.56 5.48 0.11 11.82 4654
